番号	分野	問題	URL
1	全探索：全列挙	ITP1_7_B - How Many Ways?	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=ITP1_7_B&lang=ja
2	全探索：全列挙	AtCoder Beginner Contest 106 B - 105	https://atcoder.jp/contests/abc106/tasks/abc106_b
3	全探索：全列挙	AtCoder Beginner Contest 122 B - ATCoder	https://atcoder.jp/contests/abc122/tasks/abc122_b
4	全探索：全列挙	パ研杯2019 C - カラオケ	https://atcoder.jp/contests/pakencamp-2019-day3/tasks/pakencamp_2019_day3_c
5	全探索：工夫して通り数を減らす全列挙	AtCoder Beginner Contest 095 C - Half and Half	https://atcoder.jp/contests/abc095/tasks/arc096_a
6	全探索：工夫して通り数を減らす全列挙	三井住友信託銀行プログラミングコンテスト 2019 D - Lucky PIN	https://atcoder.jp/contests/sumitrust2019/tasks/sumitb2019_d
7	全探索：工夫して通り数を減らす全列挙	JOI 2007 本選 3 - 最古の遺跡	https://atcoder.jp/contests/joi2007ho/tasks/joi2007ho_c
8	全探索：工夫して通り数を減らす全列挙	Square869120Contest #6 B - AtCoder Markets	https://atcoder.jp/contests/s8pc-6/tasks/s8pc_6_b
9	全探索：工夫して通り数を減らす全列挙	JOI 2008 予選 4 - 星座探し	https://atcoder.jp/contests/joi2008yo/tasks/joi2008yo_d
10	全探索：ビット全探索	ALDS_5_A - 総当たり	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=ALDS1_5_A&lang=ja
11	全探索：ビット全探索	AtCoder Beginner Contest 128 C - Switches	https://atcoder.jp/contests/abc128/tasks/abc128_c
12	全探索：ビット全探索	AtCoder Beginner Contest 002 D - 派閥	https://atcoder.jp/contests/abc002/tasks/abc002_4
13	全探索：ビット全探索	JOI 2008 予選 5 - おせんべい	https://atcoder.jp/contests/joi2008yo/tasks/joi2008yo_e
14	全探索：ビット全探索	Square869120Contest #4 B - Buildings are Colorful!	https://atcoder.jp/contests/s8pc-4/tasks/s8pc_4_b
15	全探索：順列全探索	AtCoder Beginner Contest 145 C - Average Length	https://atcoder.jp/contests/abc145/tasks/abc145_c
16	全探索：順列全探索	AtCoder Beginner Contest 150 C - Count Order	https://atcoder.jp/contests/abc150/tasks/abc150_c
17	全探索：順列全探索	ALDS_13_A - 8 クイーン問題	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=ALDS1_13_A&lang=ja
18	二分探索	ALDS_4_B - 二分探索	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=ALDS1_4_B&lang=ja
19	二分探索	JOI 2009 本選 2 - ピザ	https://atcoder.jp/contests/joi2009ho/tasks/joi2009ho_b
20	二分探索	AtCoder Beginner Contest 077 C - Snuke Festival	https://atcoder.jp/contests/abc077/tasks/arc084_a
21	二分探索	AtCoder Beginner Contest 023 D - 射撃王	https://atcoder.jp/contests/abc023/tasks/abc023_d
22	二分探索	AtCoder Regular Contest 054 B - ムーアの法則	https://atcoder.jp/contests/arc054/tasks/arc054_b
23	二分探索	JOI 2008 本選 3 - ダーツ	https://atcoder.jp/contests/joi2008ho/tasks/joi2008ho_c
24	深さ優先探索	ALDS_11_B - 深さ優先探索	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=ALDS1_11_B
25	深さ優先探索	AOJ 1160 - 島はいくつある？	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=1160&lang=jp
26	深さ優先探索	AtCoder Beginner Contest 138 D - Ki	https://atcoder.jp/contests/abc138/tasks/abc138_d
27	深さ優先探索	JOI 2009 予選 4 - 薄氷渡り	https://atcoder.jp/contests/joi2009yo/tasks/joi2009yo_d
28	幅優先探索	ALDS_11_C - 幅優先探索	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=ALDS1_11_C&lang=ja
29	幅優先探索	AtCoder Beginner Contest 007 C - 幅優先探索	https://atcoder.jp/contests/abc007/tasks/abc007_3
30	幅優先探索	JOI 2011 予選 5 - チーズ	https://atcoder.jp/contests/joi2011yo/tasks/joi2011yo_e
31	幅優先探索	JOI 2012 予選 5 - イルミネーション	https://atcoder.jp/contests/joi2012yo/tasks/joi2012yo_e
32	幅優先探索	AOJ 1166 - 迷図と命ず	http://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=1166&lang=jp
33	幅優先探索	AtCoder Beginner Contest 088 D - Grid Repainting	https://atcoder.jp/contests/abc088/tasks/abc088_d
